algorithm,seed,instance,objective
CCFRunner-multi,1236,1,111960.54702680589
CCFRunner-multi,1236,2,6972.46559851973
CCFRunner-multi,1236,3,43175.180800811824
CCFRunner-multi,1236,4,9063.8126827965
CCFRunner-multi,1236,5,59912.30381631639
CCFRunner-multi,1236,6,57517.97335063339
CCFRunner-multi,1236,7,68406.44844159698
CCFRunner-multi,1236,8,21333110.491933066
CCFRunner-multi,1237,0,48629.446035688896
CCFRunner-multi,1237,1,110090.82415682281
CCFRunner-multi,1237,2,6976.905599061273
CCFRunner-multi,1237,3,42731.799350143956
CCFRunner-multi,1237,4,9100.110399212617
CCFRunner-multi,1237,5,59116.422231105986
CCFRunner-multi,1237,6,62482.91274969663
CCFRunner-multi,1237,7,71123.3045695899
CCFRunner-multi,1237,8,21593188.39044306
CCFRunner-multi,1238,0,48382.91394909823
CCFRunner-multi,1238,1,109553.39402231552
CCFRunner-multi,1238,2,7013.132335442351
CCFRunner-multi,1238,3,42654.4565407564
CCFRunner-multi,1238,4,9112.480997655446
CCFRunner-multi,1238,5,58671.37802224448
CCFRunner-multi,1238,6,57033.66010845649
CCFRunner-multi,1238,7,74649.3985887708
CCFRunner-multi,1238,8,24913589.91579823
CCFRunner-multi,1239,0,48402.060272124225
CCFRunner-multi,1239,1,107995.80783194987
CCFRunner-multi,1239,2,7019.584457097813
CCFRunner-multi,1239,3,42849.830752386704
CCFRunner-multi,1239,4,9093.704097925935
CCFRunner-multi,1239,5,58736.513066526444
CCFRunner-multi,1239,6,63100.487147758635
CCFRunner-multi,1239,7,68816.12533010742
CCFRunner-multi,1239,8,24970870.987368304
